연번,사망,부상,인명피해(명)소계,재산피해소계,화재발생년월일,시도,시군구,읍면동,화재유형,발화열원,발화열원소분류,발화요인대분류,발화요인소분류,최초착화물대분류,최초착화물소분류,장소대분류,장소중분류,장소소분류
1,0,0,0,13391,2017-01-01 00:00,서울특별시,강남구,논현동,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,미확인단락,"전기,전자",전선피복,주거,단독주택,상가주택(주택부분에서 화재가 발생한 경우에만 해당)
2,0,0,0,195,2017-01-01 00:09,경상북도,문경시,흥덕동,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,절연열화에 의한 단락,합성수지,"플라스틱, PVC, 비닐, 장판",생활서비스,음식점,한식
3,0,0,0,22,2017-01-01 00:14,경상남도,거제시,일운면,기타(쓰레기 화재등),"불꽃, 불티","기타(불꽃,불티)",부주의,"불씨,불꽃,화원방치","종이,목재,건초등","풀, 나뭇잎",기타,야외,기타야외
4,0,0,0,1,2017-01-01 00:57,경기도,안산시상록구,본오동,"건축,구조물",작동기기,"기기 전도,복사열",부주의,음식물 조리중,식품,음식물,주거,단독주택,다가구주택
5,0,0,0,966,2017-01-01 00:59,전라북도,익산시,인화동1가,"건축,구조물",미상,미상,방화의심,방화의심,"종이,목재,건초등",종이,"판매,업무시설",숙박시설,모텔
6,0,0,0,3638,2017-01-01 01:11,경기도,하남시,망월동,"건축,구조물","담뱃불, 라이터불",담뱃불,부주의,담배꽁초,쓰레기류,쓰레기,주거,단독주택,다가구주택
7,0,0,0,2,2017-01-01 01:12,경상남도,김해시,어방동,"건축,구조물","마찰, 전도, 복사","화염 전도,복사열",부주의,음식물 조리중,식품,음식물,주거,공동주택,기타 공동주택
8,0,0,0,5490,2017-01-01 01:23,경기도,시흥시,정왕동,"건축,구조물","마찰, 전도, 복사","마찰열,마찰 스파크",기계적 요인,자동제어 실패,위험물등,기계유,산업시설,공장시설,금속기계 및 기구공업
9,0,0,0,19,2017-01-01 01:37,경기도,고양시덕양구,행신동,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,미확인단락,"전기,전자",전선피복,주거,공동주택,아파트
10,0,0,0,11,2017-01-01 01:38,제주특별자치도,제주시,도남동,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,절연열화에 의한 단락,"전기,전자",전선피복,생활서비스,위락시설,단란주점
