화재발생년월일,시도,시군구,인명피해소계,사망,부상,재산피해소계,부동산,동산,장소대분류,장소중분류,장소소분류
2018-01-01 00:03,경기도,고양시일산동구,1,0,1,24099,17787,6312,주거,단독주택,상가주택(주택부분에서 화재가 발생한 경우에만 해당)
2018-01-01 00:12,전라북도,완주군,0,0,0,2758,2002,756,주거,단독주택,단독주택
2018-01-01 00:16,경기도,남양주시,0,0,0,28,0,28,임야,산불,공유림
2018-01-01 00:28,충청남도,보령시,0,0,0,1942,1412,530,주거,단독주택,단독주택
2018-01-01 00:38,전라남도,순천시,0,0,0,1401,1181,220,주거,단독주택,단독주택
2018-01-01 00:49,서울특별시,강북구,0,0,0,110,0,110,주거,공동주택,다세대주택
2018-01-01 00:55,경상남도,밀양시,0,0,0,13293,11375,1918,주거,단독주택,단독주택
2018-01-01 01:01,경기도,안성시,0,0,0,316,8,308,기타,야외,기타야외
2018-01-01 01:15,경상남도,창원시 성산구,0,0,0,828,291,537,생활서비스,음식점,일반주점
2018-01-01 01:44,경상남도,창원시 성산구,0,0,0,488,0,488,생활서비스,일상서비스,의류
2018-01-01 02:19,경상남도,김해시,0,0,0,140,122,18,주거,공동주택,아파트
2018-01-01 02:22,전라남도,장흥군,0,0,0,534,168,366,주거,단독주택,단독주택
2018-01-01 02:34,서울특별시,관악구,0,0,0,20,0,20,기타,야외,쓰레기
2018-01-01 02:51,울산광역시,울주군,0,0,0,110,0,110,임야,산불,사유림
2018-01-01 02:52,경상남도,밀양시,0,0,0,3006,1344,1662,기타서비스,기타건축물,기타 건축물
2018-01-01 02:57,부산광역시,사하구,0,0,0,0,,,기타,야외,쓰레기
2018-01-01 03:00,강원도,정선군,0,0,0,17527,15877,1650,산업시설,동식물시설,기타 동식물시설
2018-01-01 03:02,부산광역시,남구,0,0,0,654,0,654,기타,야외,기타야외
2018-01-01 03:15,충청북도,영동군,0,0,0,13951,13022,929,주거,단독주택,단독주택
2018-01-01 03:41,대구광역시,동구,0,0,0,17395,12631,4764,생활서비스,음식점,횟집
2018-01-01 03:50,충청남도,예산군,0,0,0,18300,10362,7938,주거,단독주택,단독주택
2018-01-01 04:27,제주특별자치도,제주시,0,0,0,6400,6400,0,산업시설,위생시설,"양수장, 정수장"
2018-01-01 05:04,서울특별시,강북구,0,0,0,110,0,110,주거,단독주택,단독주택
2018-01-01 05:06,경기도,수원시장안구,0,0,0,215,180,35,주거,공동주택,다세대주택
2018-01-01 05:48,경상남도,거제시,0,0,0,999,449,550,"판매,업무시설",숙박시설,여관
2018-01-01 05:54,대구광역시,북구,0,0,0,3180,1821,1359,기타서비스,기타건축물,기타 건축물
2018-01-01 05:56,경기도,김포시,0,0,0,4811,2031,2780,주거,기타주택,컨테이너(주거용)
2018-01-01 07:09,강원도,강릉시,0,0,0,0,,,기타,야외,기타야외
2018-01-01 07:27,경기도,의왕시,0,0,0,40825,12388,28437,산업시설,창고시설,"창고, 물품저장소"
2018-01-01 08:05,경상남도,합천군,0,0,0,67,0,67,임야,들불,들판
2018-01-01 08:09,서울특별시,금천구,0,0,0,4400,0,4400,"자동차,철도차량",자동차,승용자동차
2018-01-01 08:20,서울특별시,금천구,0,0,0,198,0,198,"자동차,철도차량",자동차,승용자동차
2018-01-01 08:29,강원도,원주시,0,0,0,92142,81142,11000,"판매,업무시설",판매시설,상점가
2018-01-01 08:40,경기도,평택시,0,0,0,2922,227,2695,"자동차,철도차량",자동차,승용자동차
2018-01-01 08:46,부산광역시,부산진구,0,0,0,2543,1468,1075,생활서비스,음식점,"커피숍,다방,카페(휴게)"
2018-01-01 08:57,대전광역시,대덕구,0,0,0,616,0,616,"자동차,철도차량",자동차,버스
2018-01-01 08:57,경상남도,의령군,0,0,0,496,419,77,주거,단독주택,단독주택
2018-01-01 09:10,경기도,광명시,0,0,0,15,0,15,생활서비스,음식점,한식
2018-01-01 09:25,강원도,인제군,0,0,0,937,937,0,기타서비스,기타건축물,기타 건축물
2018-01-01 09:26,경상북도,포항시북구,0,0,0,798,798,0,주거,단독주택,단독주택
2018-01-01 09:30,대전광역시,동구,2,1,1,36983,22892,14091,주거,단독주택,단독주택
2018-01-01 09:35,부산광역시,남구,1,0,1,1815,1485,330,주거,단독주택,다가구주택
2018-01-01 09:35,서울특별시,영등포구,0,0,0,1613,323,1290,주거,공동주택,아파트
2018-01-01 09:46,전라북도,전주시완산구,0,0,0,2475,0,2475,"자동차,철도차량",자동차,승용자동차
2018-01-01 10:11,서울특별시,성동구,0,0,0,2610,1070,1540,"판매,업무시설",일반업무,오피스텔
2018-01-01 10:21,전라남도,해남군,0,0,0,3097,1175,1922,"판매,업무시설",숙박시설,모텔
2018-01-01 10:35,대구광역시,동구,0,0,0,220,107,113,기타서비스,기타건축물,기타 건축물
2018-01-01 10:35,서울특별시,송파구,0,0,0,74,38,36,기타,야외,쓰레기
2018-01-01 10:38,전라남도,해남군,0,0,0,3128,0,3128,기타,야외,기타야외
2018-01-01 10:44,서울특별시,중구,0,0,0,100,0,100,생활서비스,음식점,한식
2018-01-01 10:53,서울특별시,성동구,1,0,1,1942,1851,91,주거,공동주택,다세대주택
2018-01-01 11:20,광주광역시,서구,0,0,0,990,0,990,"자동차,철도차량",건설기계,기타 건설기계
2018-01-01 11:43,충청북도,청주시청원구,0,0,0,1340,0,1340,기타,야외,기타야외
2018-01-01 12:05,경기도,양주시,0,0,0,130,79,51,기타,야외,기타야외
2018-01-01 12:23,경기도,평택시,0,0,0,5429,5429,0,주거,기타주택,기타 주택
2018-01-01 12:27,경기도,성남시분당구,0,0,0,207,126,81,주거,단독주택,다가구주택
2018-01-01 12:27,대전광역시,서구,0,0,0,60,0,60,기타,야외,쓰레기
2018-01-01 12:33,경기도,화성시,0,0,0,27363,15076,12287,주거,단독주택,단독주택
2018-01-01 12:41,경상북도,경주시,0,0,0,2212,0,2212,"자동차,철도차량",농업기계,경운기
2018-01-01 12:45,서울특별시,중구,0,0,0,149,0,149,주거,단독주택,다가구주택
2018-01-01 12:49,대구광역시,동구,0,0,0,1332,463,869,주거,공동주택,아파트
2018-01-01 13:21,경기도,김포시,0,0,0,14,0,14,생활서비스,음식점,일반주점
2018-01-01 13:26,충청남도,당진시,0,0,0,2388,1362,1026,주거,단독주택,단독주택
2018-01-01 13:39,경상북도,상주시,0,0,0,35757,7814,27943,산업시설,작업장,기타 작업장
2018-01-01 13:55,강원도,철원군,1,0,1,2286,2101,185,생활서비스,음식점,"치킨,족발"
2018-01-01 14:24,충청북도,괴산군,0,0,0,1134,1134,0,주거,단독주택,단독주택
2018-01-01 14:33,충청남도,서산시,0,0,0,275,0,275,기타,야외,기타야외
2018-01-01 14:43,서울특별시,강동구,0,0,0,465,80,385,주거,공동주택,아파트
2018-01-01 15:07,대구광역시,서구,1,1,0,247,70,177,주거,단독주택,단독주택
2018-01-01 15:57,대구광역시,북구,0,0,0,243,16,227,주거,공동주택,아파트
2018-01-01 16:04,경기도,김포시,0,0,0,6484,3679,2805,산업시설,공장시설,그 밖의 공업
2018-01-01 16:06,경상북도,구미시,0,0,0,652,622,30,산업시설,동식물시설,농예용 온실
2018-01-01 16:17,경기도,파주시,0,0,0,407,253,154,"판매,업무시설",일반업무,오피스텔
2018-01-01 16:35,서울특별시,동작구,0,0,0,264,128,136,주거,단독주택,다중주택
2018-01-01 16:50,충청북도,단양군,0,0,0,4968,2803,2165,산업시설,창고시설,"창고, 물품저장소"
2018-01-01 17:09,경기도,안양시동안구,0,0,0,155,0,155,주거,단독주택,다가구주택
2018-01-01 17:16,경기도,구리시,0,0,0,1039,0,1039,"자동차,철도차량",자동차,승용자동차
2018-01-01 17:20,부산광역시,북구,0,0,0,0,,,주거,공동주택,아파트
2018-01-01 17:45,강원도,양양군,0,0,0,1794,0,1794,기타,야외,기타야외
2018-01-01 18:07,강원도,강릉시,0,0,0,11,0,11,기타,야외,기타야외
2018-01-01 18:18,경기도,안양시만안구,0,0,0,30,0,30,주거,공동주택,다세대주택
2018-01-01 18:25,강원도,강릉시,0,0,0,0,,,임야,들불,기타 들불
2018-01-01 18:25,경기도,화성시,0,0,0,11426,4551,6875,생활서비스,음식점,"제과점,빵집,떡집(휴게)"
2018-01-01 18:46,인천광역시,서구,1,0,1,43271,21887,21384,운수자동차시설,자동차시설,"자동차검사장, 매매장, 부속상, 정비공장"
2018-01-01 19:02,인천광역시,강화군,0,0,0,2475,0,2475,"자동차,철도차량",자동차,승용자동차
2018-01-01 19:24,대전광역시,동구,0,0,0,330,0,330,"자동차,철도차량",자동차,승용자동차
2018-01-01 19:30,강원도,강릉시,0,0,0,0,,,기타,야외,기타야외
2018-01-01 19:37,서울특별시,강남구,0,0,0,2619,0,2619,"판매,업무시설",숙박시설,모텔
2018-01-01 19:45,경상남도,거제시,0,0,0,35,13,22,주거,공동주택,아파트
2018-01-01 19:53,전라북도,군산시,0,0,0,2281,2281,0,생활서비스,일상서비스,일반상점
2018-01-01 20:23,서울특별시,중랑구,0,0,0,220,0,220,교육시설,"연구,학원",일반학원
2018-01-01 20:24,인천광역시,연수구,0,0,0,104,0,104,주거,공동주택,아파트
2018-01-01 20:30,경기도,고양시일산동구,0,0,0,4840,0,4840,산업시설,동식물시설,농예용 온실
2018-01-01 20:38,경기도,안성시,0,0,0,205,66,139,교육시설,"연구,학원",교육원
2018-01-01 20:42,서울특별시,광진구,0,0,0,55,0,55,주거,단독주택,다가구주택
2018-01-01 20:46,충청남도,부여군,0,0,0,48326,35141,13185,주거,단독주택,단독주택
2018-01-01 20:49,경상북도,영주시,0,0,0,3069,633,2436,산업시설,창고시설,기타 창고
2018-01-01 21:06,충청북도,청주시흥덕구,0,0,0,409,95,314,기타,야외,기타야외
2018-01-01 21:46,부산광역시,기장군,0,0,0,115098,0,115098,임야,산불,사유림
2018-01-01 22:10,서울특별시,도봉구,0,0,0,3553,2383,1170,산업시설,창고시설,"창고, 물품저장소"
2018-01-01 22:20,부산광역시,중구,0,0,0,825,0,825,"자동차,철도차량",자동차,승용자동차
2018-01-01 22:37,경기도,수원시팔달구,1,0,1,9233,5073,4160,"판매,업무시설",일반업무,오피스텔
2018-01-01 22:38,전라남도,강진군,0,0,0,519,519,0,주거,단독주택,단독주택
2018-01-01 22:42,경상북도,경산시,0,0,0,1545,1120,425,기타서비스,기타건축물,기타 건축물
2018-01-01 22:45,서울특별시,송파구,0,0,0,19,0,19,주거,공동주택,다세대주택
2018-01-01 22:49,부산광역시,수영구,0,0,0,30,0,30,기타,야외,기타야외
2018-01-01 23:05,경상남도,진주시,0,0,0,2395,1987,408,주거,단독주택,단독주택
2018-01-01 23:20,전라북도,정읍시,0,0,0,5612,2752,2860,생활서비스,일상서비스,세탁소
2018-01-01 23:25,전라남도,목포시,0,0,0,1917,1127,790,주거,공동주택,아파트
2018-01-01 23:28,울산광역시,중구,0,0,0,27,0,27,기타,야외,공터
2018-01-01 23:29,서울특별시,동대문구,0,0,0,922,0,922,주거,공동주택,기타 공동주택
2018-01-02 00:23,충청남도,천안시동남구,0,0,0,2251,1811,440,생활서비스,일상서비스,기타 일상서비스
2018-01-02 01:10,충청남도,아산시,2,0,2,23934,20634,3300,주거,공동주택,기숙사
2018-01-02 01:16,충청북도,충주시,1,0,1,42680,0,42680,"자동차,철도차량",자동차,화물자동차
2018-01-02 01:36,경상북도,고령군,1,1,0,20298,14921,5377,주거,단독주택,단독주택
2018-01-02 03:24,대전광역시,중구,0,0,0,90,0,90,"판매,업무시설",판매시설,시장
2018-01-02 03:37,경상남도,김해시,0,0,0,10166,4581,5585,기타서비스,기타건축물,기타 건축물
2018-01-02 03:58,경상남도,남해군,1,0,1,99002,8163,90839,주거,단독주택,단독주택
2018-01-02 04:30,경상남도,창원시 마산회원구,0,0,0,20359,19241,1118,주거,공동주택,다세대주택
2018-01-02 04:54,경상북도,경주시,0,0,0,8540,7951,589,주거,단독주택,단독주택
2018-01-02 05:01,강원도,동해시,0,0,0,1443,829,614,주거,단독주택,단독주택
2018-01-02 05:30,경기도,성남시분당구,0,0,0,107,79,28,주거,공동주택,아파트
2018-01-02 05:40,경상남도,함안군,0,0,0,10560,0,10560,"자동차,철도차량",자동차,화물자동차
2018-01-02 05:55,경기도,용인시처인구,0,0,0,1727,1048,679,생활서비스,일상서비스,고시원(원룸텔)
2018-01-02 07:03,충청남도,서천군,0,0,0,28777,16017,12760,"판매,업무시설",판매시설,기타 판매시설
2018-01-02 07:18,제주특별자치도,서귀포시,0,0,0,633,0,633,기타,야외,기타야외
2018-01-02 07:32,충청남도,공주시,0,0,0,5500,0,5500,"자동차,철도차량",건설기계,덤프트럭
2018-01-02 07:32,경상남도,합천군,0,0,0,94074,72439,21635,집합시설,종교시설,사찰
2018-01-02 07:36,경상북도,문경시,1,0,1,45304,36257,9047,주거,단독주택,단독주택
2018-01-02 07:43,충청북도,청주시상당구,0,0,0,37,37,0,"판매,업무시설",일반업무,일반회사
2018-01-02 07:50,강원도,고성군,0,0,0,2131,1162,969,산업시설,창고시설,"창고, 물품저장소"
2018-01-02 07:58,경상남도,김해시,0,0,0,529,410,119,산업시설,공장시설,그 밖의 공업
2018-01-02 08:21,경기도,파주시,0,0,0,40480,0,40480,산업시설,공장시설,인쇄업
2018-01-02 08:36,경기도,고양시덕양구,0,0,0,8738,8362,376,"판매,업무시설",군사시설,기타 군사시설
2018-01-02 08:46,경상북도,경산시,0,0,0,165,0,165,주거,공동주택,아파트
2018-01-02 08:52,충청남도,천안시서북구,0,0,0,15445,10532,4913,주거,공동주택,아파트
2018-01-02 08:59,경상북도,경주시,0,0,0,7,0,7,주거,공동주택,아파트
2018-01-02 09:15,경상북도,문경시,0,0,0,132,0,132,기타,야외,볏짚
2018-01-02 09:33,제주특별자치도,서귀포시,0,0,0,0,,,기타,야외,기타야외
2018-01-02 09:38,경상북도,경산시,0,0,0,1586,1421,165,주거,단독주택,단독주택
2018-01-02 09:42,충청남도,예산군,0,0,0,337,56,281,산업시설,동식물시설,우사
2018-01-02 09:49,인천광역시,서구,0,0,0,110,0,110,기타,야외,야적장
2018-01-02 10:10,전라북도,남원시,0,0,0,96,19,77,산업시설,창고시설,"창고, 물품저장소"
2018-01-02 10:11,대구광역시,달서구,0,0,0,4294,2192,2102,주거,단독주택,상가주택(주택부분에서 화재가 발생한 경우에만 해당)
2018-01-02 10:28,경기도,의정부시,0,0,0,118,48,70,생활서비스,음식점,한식
2018-01-02 10:49,경기도,포천시,0,0,0,388,234,154,기타서비스,기타건축물,기타 건축물
2018-01-02 10:54,서울특별시,중랑구,0,0,0,110,0,110,생활서비스,일상서비스,일반상점
2018-01-02 11:22,경상남도,함안군,0,0,0,5005,0,5005,"위험물,가스제조소",위험물제조소등,기타 위험물제조소
2018-01-02 11:25,경상북도,성주군,0,0,0,1493,1493,0,주거,단독주택,단독주택
2018-01-02 11:39,경상북도,영주시,0,0,0,2574,1347,1227,산업시설,동식물시설,기타 동식물시설
2018-01-02 11:40,인천광역시,남동구,0,0,0,391,59,332,생활서비스,음식점,횟집
2018-01-02 11:45,경상남도,사천시,0,0,0,861,407,454,주거,공동주택,아파트
2018-01-02 11:47,전라북도,순창군,0,0,0,867,699,168,주거,단독주택,단독주택
2018-01-02 11:51,제주특별자치도,제주시,0,0,0,44852,0,44852,"자동차,철도차량",자동차,승용자동차
2018-01-02 11:57,서울특별시,구로구,0,0,0,66,0,66,"판매,업무시설",일반업무,일반빌딩
2018-01-02 12:09,충청남도,보령시,0,0,0,440,0,440,"자동차,철도차량",자동차,화물자동차
2018-01-02 12:11,서울특별시,은평구,0,0,0,439,185,254,"판매,업무시설",판매시설,상가빌딩
2018-01-02 12:11,제주특별자치도,제주시,0,0,0,1216,1091,125,산업시설,공장시설,식료품공업
2018-01-02 12:12,부산광역시,남구,0,0,0,0,,,기타,야외,공터
2018-01-02 12:23,경기도,양주시,0,0,0,301,221,80,산업시설,창고시설,기타 창고
2018-01-02 12:24,서울특별시,동대문구,0,0,0,7120,5963,1157,주거,공동주택,아파트
