화재발생년월일,시도,시군구,화재유형,발화열원대분류,발화열원소분류,발화요인대분류,발화요인소분류,최초착화물대분류,최초착화물소분류,인명피해(명)소계,사망,부상,재산피해소계,장소대분류,장소중분류,장소소분류
2020-01-01 00:03,전라북도,익산시,"건축,구조물","불꽃, 불티","기타(불꽃,불티)",부주의,기타(부주의),"침구,직물류","기타(침구,직물류)",0,0,0,171,생활서비스,음식점,"치킨,족발"
2020-01-01 00:33,서울특별시,성북구,기타(쓰레기 화재등),"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등",종이,0,0,0,326,기타,야외,쓰레기
2020-01-01 00:35,경상북도,영덕군,기타(쓰레기 화재등),"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,기타,기타,0,0,0,0,기타,야외,기타야외
2020-01-01 00:40,충청북도,옥천군,"자동차,철도차량",작동기기,"불꽃, 스파크, 정전기",기계적 요인,"과열, 과부하","자동차,철도차량,선박,항공기",오일류,0,0,0,2640,"자동차,철도차량",자동차,승용자동차
2020-01-01 00:59,부산광역시,금정구,"자동차,철도차량",미상,미상,미상,미상,미상,미상,0,0,0,7904,"자동차,철도차량",자동차,오토바이
2020-01-01 01:09,전라남도,함평군,"자동차,철도차량",작동기기,"기기 전도,복사열,기기발열",기계적 요인,"오일,연료누설",위험물등,가솔린,0,0,0,1980,"자동차,철도차량",자동차,승용자동차
2020-01-01 01:27,경기도,용인시처인구,"건축,구조물","불꽃, 불티",굴뚝(연통) 아궁이,부주의,가연물 근접방치,"종이,목재,건초등","목재, 합판",0,0,0,26555,주거,단독주택,단독주택
2020-01-01 01:33,부산광역시,부산진구,"건축,구조물","담뱃불, 라이터불","라이터불, 성냥불",방화,방화,"종이,목재,건초등",종이,0,0,0,212,주거,단독주택,다가구주택
2020-01-01 01:45,인천광역시,미추홀구,"건축,구조물",미상,미상,미상,미상,쓰레기류,기타 쓰레기,0,0,0,542,주거,공동주택,연립주택
2020-01-01 01:52,충청북도,충주시,"건축,구조물","마찰, 전도, 복사","화염 전도,복사열",부주의,가연물 근접방치,"침구,직물류","기타(침구,직물류)",0,0,0,1816,산업시설,창고시설,기타 창고
2020-01-01 01:54,강원도,춘천시,"건축,구조물",작동기기,"기기 전도,복사열,기기발열",부주의,가연물 근접방치,"종이,목재,건초등",종이,0,0,0,1735,주거,공동주택,다세대주택
2020-01-01 02:09,부산광역시,사상구,기타(쓰레기 화재등),"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,쓰레기류,쓰레기,0,0,0,0,기타,야외,쓰레기
2020-01-01 02:09,충청남도,예산군,기타(쓰레기 화재등),"불꽃, 불티","쓰레기, 논밭두렁",부주의,쓰레기 소각,쓰레기류,쓰레기,0,0,0,39,기타,도로,가로등
2020-01-01 02:20,경기도,의정부시,"자동차,철도차량","담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등","기타(종이,목재,건초등)",0,0,0,220,"자동차,철도차량",자동차,화물자동차
2020-01-01 02:46,서울특별시,금천구,기타(쓰레기 화재등),작동기기,"불꽃, 스파크, 정전기",부주의,가연물 근접방치,위험물등,등유,6,0,6,68,기타,야외,기타야외
2020-01-01 03:17,충청남도,공주시,"건축,구조물","불꽃, 불티","모닥불, 연탄, 숯",부주의,가연물 근접방치,"종이,목재,건초등",나무,0,0,0,1075,산업시설,창고시설,기타 창고
2020-01-01 03:25,충청북도,청주시흥덕구,"자동차,철도차량",기타,기타,교통사고,교통사고,"자동차,철도차량,선박,항공기",오일류,0,0,0,3410,"자동차,철도차량",자동차,승용자동차
2020-01-01 03:26,경기도,화성시,"건축,구조물","담뱃불, 라이터불","라이터불, 성냥불",방화의심,방화의심,"침구,직물류","이불(베개,시트)",0,0,0,23317,산업시설,공장시설,금속기계 및 기구공업
2020-01-01 03:29,충청북도,청주시서원구,"건축,구조물",작동기기,기타(작동기기),부주의,가연물 근접방치,"종이,목재,건초등",나무,0,0,0,5423,주거,단독주택,단독주택
2020-01-01 03:55,인천광역시,중구,"건축,구조물","담뱃불, 라이터불",담뱃불,부주의,담배꽁초,쓰레기류,쓰레기,0,0,0,17,기타서비스,기타건축물,기타 건축물
2020-01-01 04:03,부산광역시,사하구,기타(쓰레기 화재등),"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,쓰레기류,쓰레기,0,0,0,0,기타,야외,쓰레기
2020-01-01 04:04,울산광역시,북구,기타(쓰레기 화재등),"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,쓰레기류,기타 쓰레기,0,0,0,2,기타,야외,쓰레기
2020-01-01 04:08,울산광역시,남구,"건축,구조물",화학적 발화열,화학반응열,화학적 요인,자연발화,식품,튀김유,0,0,0,251,생활서비스,음식점,"치킨,족발"
2020-01-01 04:14,서울특별시,중랑구,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,절연열화에 의한 단락,"전기,전자",전선피복,0,0,0,193,생활서비스,일상서비스,기타 일상서비스
2020-01-01 04:36,서울특별시,관악구,"건축,구조물",화학적 발화열,화학반응열,부주의,"불씨,불꽃,화원방치",쓰레기류,기타 쓰레기,0,0,0,38,생활서비스,음식점,"치킨,족발"
2020-01-01 05:02,서울특별시,용산구,기타(쓰레기 화재등),작동기기,"기기 전도,복사열,기기발열",부주의,기타(부주의),합성수지,"플라스틱, PVC, 비닐, 장판",0,0,0,31,기타,야외,기타야외
2020-01-01 05:07,대구광역시,동구,"건축,구조물","마찰, 전도, 복사","기타(마찰,전도,복사)",부주의,기타(부주의),가구,"침대, 매트리스",0,0,0,988,주거,공동주택,아파트
2020-01-01 05:25,부산광역시,서구,"건축,구조물",작동기기,"기기 전도,복사열,기기발열",부주의,가연물 근접방치,"종이,목재,건초등","목재, 합판",0,0,0,33,"의료,복지시설",건강시설,"목욕장(사우나, 찜질방)"
2020-01-01 05:31,광주광역시,북구,"건축,구조물",미상,미상,미상,미상,미상,미상,0,0,0,82633,산업시설,창고시설,"창고, 물품저장소"
2020-01-01 05:42,경상북도,경주시,"건축,구조물",미상,미상,미상,미상,미상,미상,0,0,0,9384,주거,단독주택,단독주택
2020-01-01 05:44,경기도,하남시,"건축,구조물","담뱃불, 라이터불","라이터불, 성냥불",방화,방화,"침구,직물류",의류,0,0,0,3113,주거,단독주택,다가구주택
2020-01-01 06:13,경기도,시흥시,"건축,구조물",미상,미상,미상,미상,미상,미상,0,0,0,19779,산업시설,공장시설,금속기계 및 기구공업
2020-01-01 07:22,광주광역시,서구,"자동차,철도차량","불꽃, 불티","모닥불, 연탄, 숯",방화,방화,"침구,직물류","기타(침구,직물류)",0,0,0,2090,"자동차,철도차량",자동차,승용자동차
2020-01-01 07:34,전라남도,무안군,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,접촉불량에 의한 단락,합성수지,"플라스틱, PVC, 비닐, 장판",0,0,0,57,산업시설,창고시설,기타 창고
2020-01-01 07:41,전라남도,순천시,"건축,구조물","마찰, 전도, 복사","화염 전도,복사열",기계적 요인,"과열, 과부하","종이,목재,건초등","목재, 합판",0,0,0,2291,주거,단독주택,단독주택
2020-01-01 08:04,경상북도,김천시,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,트래킹에 의한 단락,합성수지,"플라스틱, PVC, 비닐, 장판",0,0,0,1030,주거,공동주택,다세대주택
2020-01-01 08:14,충청남도,금산군,"자동차,철도차량","담뱃불, 라이터불","라이터불, 성냥불",부주의,가연물 근접방치,쓰레기류,기타 쓰레기,0,0,0,1650,"자동차,철도차량",자동차,화물자동차
2020-01-01 08:24,인천광역시,계양구,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,절연열화에 의한 단락,"전기,전자",전선피복,0,0,0,5055,주거,공동주택,아파트
2020-01-01 08:38,인천광역시,강화군,"건축,구조물",작동기기,"불꽃, 스파크, 정전기",전기적 요인,"누전,지락","종이,목재,건초등","기타(종이,목재,건초등)",0,0,0,12686,주거,단독주택,단독주택
2020-01-01 08:49,전라북도,정읍시,"건축,구조물","불꽃, 불티",굴뚝(연통) 아궁이,부주의,"불씨,불꽃,화원방치",쓰레기류,쓰레기,0,0,0,21649,주거,단독주택,단독주택
2020-01-01 09:11,강원도,원주시,"건축,구조물",미상,미상,미상,미상,"침구,직물류",의류,0,0,0,583,기타서비스,기타건축물,기타 건축물
2020-01-01 09:13,서울특별시,서대문구,기타(쓰레기 화재등),"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,쓰레기류,쓰레기,0,0,0,39,기타,야외,쓰레기
2020-01-01 09:15,전라남도,함평군,"건축,구조물","불꽃, 불티","모닥불, 연탄, 숯",부주의,"불씨,불꽃,화원방치","종이,목재,건초등",톱밥,0,0,0,1911,산업시설,공장시설,제재 및 목공업
2020-01-01 09:32,충청남도,보령시,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,미확인단락,"전기,전자",전선피복,0,0,0,5175,생활서비스,음식점,한식
2020-01-01 09:33,전라남도,광양시,"건축,구조물","불꽃, 불티",굴뚝(연통) 아궁이,기계적 요인,정비불량,기타,기타,0,0,0,1500,산업시설,공장시설,그 밖의 공업
2020-01-01 09:41,경기도,안산시상록구,"건축,구조물",작동기기,"기기 전도,복사열,기기발열",부주의,기타(부주의),합성수지,기타(합성수지),0,0,0,3533,주거,공동주택,다세대주택
2020-01-01 09:48,인천광역시,서구,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,절연열화에 의한 단락,합성수지,기타(합성수지),0,0,0,12,생활서비스,음식점,한식
2020-01-01 10:28,서울특별시,강동구,"건축,구조물",화학적 발화열,화학반응열,화학적 요인,자연발화,식품,기타(식품),0,0,0,1621,생활서비스,음식점,"치킨,족발"
2020-01-01 10:29,경상북도,구미시,"건축,구조물",작동기기,"불꽃, 스파크, 정전기",전기적 요인,트래킹에 의한 단락,"종이,목재,건초등",종이,0,0,0,493,생활서비스,일상서비스,이미용실
2020-01-01 10:34,서울특별시,동작구,"건축,구조물","담뱃불, 라이터불",촛불,부주의,"불씨,불꽃,화원방치",기타,기타,0,0,0,189,주거,공동주택,아파트
2020-01-01 10:54,경상남도,거제시,기타(쓰레기 화재등),작동기기,전기적 아크(단락),전기적 요인,절연열화에 의한 단락,"전기,전자",전선피복,0,0,0,968,기타,야외,기타야외
2020-01-01 11:12,경상남도,의령군,"건축,구조물","불꽃, 불티","용접, 절단, 연마",부주의,"용접, 절단, 연마","종이,목재,건초등",건초,0,0,0,495,산업시설,동식물시설,우사
2020-01-01 11:28,부산광역시,기장군,"건축,구조물",작동기기,"기기 전도,복사열,기기발열",부주의,기타(부주의),식품,튀김유,0,0,0,4494,생활서비스,오락시설,PC방(인터넷게임제공업)
2020-01-01 12:00,충청남도,서천군,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,미확인단락,"전기,전자","전기, 전자기기 기판",0,0,0,1100,산업시설,동식물시설,농예용 온실
2020-01-01 12:05,경기도,성남시수정구,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,미확인단락,"전기,전자","전기, 전자기기 케이스",0,0,0,7407,주거,단독주택,다가구주택
2020-01-01 12:11,경기도,성남시수정구,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,절연열화에 의한 단락,"전기,전자",전선피복,0,0,0,220,주거,단독주택,다가구주택
2020-01-01 12:15,대전광역시,서구,"건축,구조물","마찰, 전도, 복사","화염 전도,복사열",부주의,음식물 조리중,식품,튀김유,0,0,0,247,생활서비스,음식점,"커피숍,다방,카페"
2020-01-01 12:19,서울특별시,성동구,"건축,구조물",미상,미상,미상,미상,합성수지,"플라스틱, PVC, 비닐, 장판",0,0,0,293,주거,공동주택,아파트
2020-01-01 12:39,전라남도,영광군,기타(쓰레기 화재등),"불꽃, 불티",비화,부주의,쓰레기 소각,합성수지,"플라스틱, PVC, 비닐, 장판",0,0,0,99,기타,야외,기타야외
2020-01-01 12:42,전라남도,완도군,"건축,구조물",기타,기타,전기적 요인,"압착,손상에 의한 단락",합성수지,기타(합성수지),0,0,0,2392,"판매,업무시설",판매시설,기타 판매시설
2020-01-01 12:50,전라남도,담양군,"자동차,철도차량",기타,기타,미상,미상,기타,기타,0,0,0,89445,"자동차,철도차량",자동차,버스
2020-01-01 12:54,전라남도,해남군,"건축,구조물",미상,미상,미상,미상,미상,미상,0,0,0,50816,주거,단독주택,단독주택
2020-01-01 12:56,강원도,강릉시,임야,"불꽃, 불티","쓰레기, 논밭두렁",부주의,쓰레기 소각,"종이,목재,건초등","풀, 나뭇잎",1,0,1,990,임야,산불,사유림
2020-01-01 13:03,부산광역시,수영구,"건축,구조물",작동기기,"기기 전도,복사열,기기발열",부주의,음식물 조리중,식품,음식물,0,0,0,55,주거,단독주택,다가구주택
2020-01-01 13:17,대구광역시,중구,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,미확인단락,"전기,전자",전선피복,0,0,0,1939,생활서비스,일상서비스,기타 일상서비스
2020-01-01 13:23,서울특별시,용산구,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,과부하/과전류,"전기,전자","전기, 전자기기 기판",0,0,0,363,주거,공동주택,아파트
2020-01-01 13:36,경상북도,문경시,"건축,구조물",기타,기타,부주의,기타(부주의),"종이,목재,건초등",건초,0,0,0,976,주거,기타주택,기타 주택
2020-01-01 13:53,울산광역시,남구,기타(쓰레기 화재등),기타,기타,기타,기타,"종이,목재,건초등",종이,0,0,0,653,기타,야외,기타야외
2020-01-01 14:20,경기도,광주시,"자동차,철도차량","담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등",종이,0,0,0,825,"자동차,철도차량",자동차,승용자동차
2020-01-01 14:22,경상북도,영주시,"건축,구조물",미상,미상,미상,미상,미상,미상,0,0,0,9889,생활서비스,일상서비스,철물점
2020-01-01 14:42,경상북도,영덕군,"건축,구조물","불꽃, 불티","용접, 절단, 연마",부주의,"용접, 절단, 연마",위험물등,경유,0,0,0,41,집합시설,종교시설,사찰
2020-01-01 14:45,경상남도,통영시,"건축,구조물","담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등",종이,0,0,0,6371,주거,공동주택,아파트
2020-01-01 14:46,부산광역시,영도구,"자동차,철도차량",작동기기,기타(작동기기),전기적 요인,과부하/과전류,"자동차,철도차량,선박,항공기",전기배선,0,0,0,1237,"자동차,철도차량",자동차,승용자동차
2020-01-01 14:49,부산광역시,사하구,"건축,구조물","불꽃, 불티","모닥불, 연탄, 숯",부주의,"불씨,불꽃,화원방치",쓰레기류,기타 쓰레기,0,0,0,1885,생활서비스,음식점,한식
2020-01-01 14:50,강원도,강릉시,"건축,구조물","마찰, 전도, 복사","화염 전도,복사열",부주의,음식물 조리중,식품,음식물,0,0,0,20356,주거,단독주택,단독주택
2020-01-01 14:59,경상남도,창녕군,"자동차,철도차량",작동기기,"기기 전도,복사열,기기발열",기계적 요인,"오일,연료누설",위험물등,기타(위험물등),0,0,0,165,"자동차,철도차량",건설기계,덤프트럭
2020-01-01 15:07,경기도,연천군,"건축,구조물","불꽃, 불티",굴뚝(연통) 아궁이,기계적 요인,"과열, 과부하",합성수지,기타(합성수지),0,0,0,5225,주거,단독주택,단독주택
2020-01-01 15:31,서울특별시,구로구,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,미확인단락,"전기,전자","전기, 전자기기 기판",0,0,0,147,주거,단독주택,다가구주택
2020-01-01 15:32,대구광역시,동구,기타(쓰레기 화재등),"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,쓰레기류,기타 쓰레기,0,0,0,0,기타,야외,쓰레기
2020-01-01 15:38,경상남도,창원시 성산구,기타(쓰레기 화재등),"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등","풀, 나뭇잎",0,0,0,45,기타,야외,기타야외
2020-01-01 15:50,강원도,영월군,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,"압착,손상에 의한 단락","전기,전자",전선피복,0,0,0,184,"판매,업무시설",일반업무,기타 일반업무시설
2020-01-01 15:54,경기도,구리시,"건축,구조물","불꽃, 불티",굴뚝(연통) 아궁이,부주의,음식물 조리중,기타,기타,0,0,0,50,생활서비스,음식점,한식
2020-01-01 16:03,전라북도,익산시,"자동차,철도차량",작동기기,"기기 전도,복사열,기기발열",기계적 요인,"과열, 과부하",합성수지,"플라스틱, PVC, 비닐, 장판",0,0,0,198,"자동차,철도차량",자동차,승용자동차
2020-01-01 16:06,인천광역시,중구,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,절연열화에 의한 단락,"전기,전자","콘센트, 스위치류",0,0,0,163,주거,단독주택,단독주택
