일시,시도,시·군·구,화재유형,발화열원대분류,발화열원소분류,발화요인대분류,발화요인소분류,최초착화물대분류,최초착화물소분류,인명피해(명)소계,사망,부상,재산피해소계,장소대분류,장소중분류,장소소분류
2022-01-01 00:00,울산광역시,북구,"건축,구조물","불꽃, 불티",굴뚝(연통) 아궁이,부주의,음식물 조리중,기타,기타,0,0,0,613,"판매,업무시설",판매시설,상점가
2022-01-01 00:06,경기도,연천군,"건축,구조물","담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등",종이,0,0,0,1610,주거,공동주택,연립주택
2022-01-01 00:08,인천광역시,부평구,"건축,구조물","담뱃불, 라이터불",담뱃불,부주의,담배꽁초,쓰레기류,쓰레기,0,0,0,30,기타서비스,기타건축물,기타 건축물
2022-01-01 00:12,울산광역시,북구,기타(쓰레기 화재등),"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등",건초,0,0,0,31,기타,야외,공터
2022-01-01 00:13,경상남도,창원시 마산회원구,"건축,구조물",작동기기,"기기 전도,복사열,기기발열",부주의,"기기(전기, 기계 등) 사용.설치부주의","전기,전자",전자기기 부속품,0,0,0,181,주거,공동주택,아파트
2022-01-01 00:15,충청남도,홍성군,"건축,구조물","마찰, 전도, 복사","화염 전도,복사열",부주의,음식물 조리중,식품,음식물,0,0,0,130,생활서비스,음식점,한식
2022-01-01 00:20,서울특별시,도봉구,기타(쓰레기 화재등),"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,쓰레기류,재활용,0,0,0,131,기타,야외,공터
2022-01-01 00:20,충청남도,천안시서북구,임야,작동기기,"기기 전도,복사열,기기발열",부주의,기타(부주의),"종이,목재,건초등",종이,0,0,0,330,임야,산불,사유림
2022-01-01 00:24,전북특별자치도,완주군,기타(쓰레기 화재등),"불꽃, 불티",굴뚝(연통) 아궁이,부주의,"불씨,불꽃,화원방치","종이,목재,건초등","목재, 합판",0,0,0,1194,기타,야외,기타야외
2022-01-01 00:39,경기도,파주시,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,미확인단락,"전기,전자",전자기기 부속품,0,0,0,2939,주거,공동주택,아파트
2022-01-01 00:39,경상남도,진주시,"건축,구조물",미상,미상,미상,미상,미상,미상,0,0,0,1769,"판매,업무시설",일반업무,오피스텔
2022-01-01 00:44,충청북도,옥천군,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,반단선,"전기,전자",전선피복,0,0,0,17933,주거,단독주택,단독주택
2022-01-01 00:53,경기도,광주시,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,트래킹에 의한 단락,"전기,전자","전기, 전자기기 기판",0,0,0,3965,생활서비스,음식점,중식
2022-01-01 00:59,경기도,군포시,"건축,구조물","담뱃불, 라이터불",촛불,부주의,"불씨,불꽃,화원방치",합성수지,"플라스틱, PVC, 비닐, 장판",0,0,0,1662,주거,공동주택,아파트
2022-01-01 01:00,서울특별시,강동구,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,절연열화에 의한 단락,"전기,전자",전선피복,0,0,0,248,"판매,업무시설",일반업무,일반빌딩
2022-01-01 01:04,경기도,김포시,"건축,구조물",미상,미상,미상,미상,미상,미상,0,0,0,285635,산업시설,공장시설,펄프 및 제지공업
2022-01-01 02:11,경상남도,양산시,"자동차,철도차량",작동기기,전기적 아크(단락),전기적 요인,절연열화에 의한 단락,"전기,전자",전선피복,0,0,0,158603,"자동차,철도차량",자동차,화물자동차
2022-01-01 02:21,인천광역시,남동구,"건축,구조물",기타,기타,전기적 요인,기타(전기적요인),기타,기타,0,0,0,2558,주거,기타주택,비닐하우스
2022-01-01 02:31,경기도,안산시상록구,"건축,구조물",작동기기,"기기 전도,복사열,기기발열",전기적 요인,과부하/과전류,"전기,전자","콘센트, 스위치류",0,0,0,1617,산업시설,창고시설,"창고, 물품저장소"
2022-01-01 02:37,경기도,수원시장안구,"건축,구조물","마찰, 전도, 복사","화염 전도,복사열",기타,기타,"종이,목재,건초등","목재, 합판",0,0,0,2,"의료,복지시설",의료시설,기타 의료시설
2022-01-01 02:53,울산광역시,울주군,"건축,구조물",자연적 발화열,돋보기 효과,부주의,"불씨,불꽃,화원방치","침구,직물류","기타(침구,직물류)",0,0,0,57617,주거,기타주택,기타 주택
2022-01-01 02:57,경기도,김포시,"건축,구조물",작동기기,"기기 전도,복사열,기기발열",화학적 요인,기타(화학적요인),"전기,전자",전선피복,0,0,0,8552,"판매,업무시설",일반업무,공사
2022-01-01 03:01,충청남도,천안시동남구,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,미확인단락,합성수지,"플라스틱, PVC, 비닐, 장판",0,0,0,311,주거,공동주택,기타 공동주택
2022-01-01 03:17,전라남도,강진군,"건축,구조물","담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"침구,직물류","이불(베개,시트)",0,0,0,15976,주거,단독주택,단독주택
2022-01-01 03:17,인천광역시,중구,"건축,구조물",미상,미상,미상,미상,미상,미상,0,0,0,3481,산업시설,창고시설,하역장
2022-01-01 03:34,울산광역시,북구,"건축,구조물",작동기기,"기기 전도,복사열,기기발열",부주의,"기기(전기, 기계 등) 사용.설치부주의","전기,전자","전기, 전자기기 케이스",0,0,0,1028,생활서비스,음식점,횟집
2022-01-01 03:44,경기도,부천시,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,절연열화에 의한 단락,"전기,전자",전선피복,0,0,0,118,생활서비스,일상서비스,부동산 중개업소
2022-01-01 04:18,경기도,양평군,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,과부하/과전류,"전기,전자",전선피복,0,0,0,897,"의료,복지시설",의료시설,병원
2022-01-01 04:53,대구광역시,달서구,기타(쓰레기 화재등),"담뱃불, 라이터불",담뱃불,부주의,"기기(전기, 기계 등) 사용.설치부주의",쓰레기류,쓰레기,0,0,0,134,기타,야외,쓰레기
2022-01-01 05:01,전북특별자치도,군산시,"건축,구조물",화학적 발화열,발효열,화학적 요인,자연발화,식품,음식물,0,0,0,110,생활서비스,음식점,"치킨,족발"
2022-01-01 05:27,서울특별시,노원구,"건축,구조물","담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"침구,직물류","이불(베개,시트)",0,0,0,1727,"판매,업무시설",숙박시설,모텔
2022-01-01 05:32,경상남도,창원시 의창구,"건축,구조물",미상,미상,미상,미상,미상,미상,0,0,0,629063,산업시설,공장시설,금속기계 및 기구공업
2022-01-01 05:39,경상남도,거제시,"건축,구조물",미상,미상,미상,미상,쓰레기류,쓰레기,0,0,0,2225,산업시설,작업장,기타 작업장
2022-01-01 06:30,광주광역시,남구,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,반단선,"전기,전자",전선피복,0,0,0,532,"의료,복지시설",의료시설,한방병원
2022-01-01 06:35,충청남도,금산군,"건축,구조물",작동기기,"기기 전도,복사열,기기발열",부주의,가연물 근접방치,합성수지,"플라스틱, PVC, 비닐, 장판",0,0,0,48386,주거,단독주택,단독주택
2022-01-01 06:40,경기도,용인시기흥구,"자동차,철도차량",작동기기,"기기 전도,복사열,기기발열",교통사고,교통사고,"자동차,철도차량,선박,항공기",오일류,0,0,0,22770,"자동차,철도차량",자동차,승용자동차
