일시,시도,시_군_구,화재유형,발화열원대분류,발화열원소분류,발화요인대분류,발화요인소분류,최초착화물대분류,최초착화물소분류,인명피해(명)소계,사망,부상,재산피해소계,장소대분류,장소중분류,장소소분류
2023-01-01 00:00,경기도,김포시,"자동차,철도차량",작동기기,"기기 전도,복사열,기기발열",기계적 요인,"오일,연료누설",위험물등,기계유,0,0,0,1100,"자동차,철도차량",자동차,승용자동차
2023-01-01 00:29,경상남도,거창군,"건축,구조물","불꽃, 불티","기타(불꽃,불티)",부주의,기타(부주의),"종이,목재,건초등",나무,0,0,0,668,주거,단독주택,단독주택
2023-01-01 00:34,강원특별자치도,원주시,"건축,구조물","담뱃불, 라이터불",담뱃불,부주의,담배꽁초,쓰레기류,쓰레기,0,0,0,580,주거,단독주택,다가구주택
2023-01-01 01:01,전북특별자치도,익산시,"건축,구조물",작동기기,전기적 아크(단락),부주의,"기기(전기, 기계 등) 사용.설치부주의","침구,직물류","이불(베개,시트)",0,0,0,1963,"의료,복지시설",의료시설,한의원
2023-01-01 01:34,경상남도,창원시 성산구,기타(쓰레기 화재등),"불꽃, 불티","모닥불, 연탄, 숯",부주의,"불씨,불꽃,화원방치",기타,기타,0,0,0,210,기타,야외,기타야외
2023-01-01 01:59,부산광역시,수영구,"건축,구조물","담뱃불, 라이터불",담뱃불,부주의,담배꽁초,쓰레기류,기타 쓰레기,0,0,0,0,생활서비스,일상서비스,기타 일상서비스
2023-01-01 01:59,대전광역시,유성구,"건축,구조물",화학적 발화열,화학반응열,화학적 요인,자연발화,식품,튀김유,0,0,0,81,생활서비스,음식점,"치킨,족발"
2023-01-01 02:08,경상남도,거제시,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,미확인단락,합성수지,우레탄,0,0,0,550,기타서비스,기타건축물,기타 건축물
2023-01-01 02:44,대구광역시,수성구,"건축,구조물","담뱃불, 라이터불",향불,부주의,"불씨,불꽃,화원방치","침구,직물류",의류,0,0,0,1525,주거,공동주택,아파트
2023-01-01 02:47,부산광역시,동래구,"건축,구조물",작동기기,"기기 전도,복사열,기기발열",부주의,음식물 조리중,식품,튀김유,0,0,0,345,주거,공동주택,아파트
2023-01-01 02:52,경상남도,거제시,"건축,구조물",작동기기,"기기 전도,복사열,기기발열",부주의,음식물 조리중,식품,음식물,0,0,0,8,"판매,업무시설",숙박시설,기타 숙박시설
2023-01-01 03:05,충청북도,청주시 청원구,"건축,구조물",작동기기,"기기 전도,복사열,기기발열",부주의,"기기(전기, 기계 등) 사용.설치부주의","침구,직물류",카펫,0,0,0,4657,주거,공동주택,다세대주택
2023-01-01 03:20,경상남도,김해시,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,미확인단락,"전기,전자",전선피복,0,0,0,3143,산업시설,공장시설,금속기계 및 기구공업
