지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),최대 풍속(m/s),평균 풍속(m/s),최소 상대습도(%),평균 상대습도(%),합계 일조시간(hr),합계 일사량(MJ/m2)
90,속초,2015-01-01,-4.6,-7.9,-1.8,,6.1,2.2,23,31.6,8.9,
90,속초,2015-01-02,-2.9,-5.4,.9,,11.5,3.4,24,30.4,7.7,
90,속초,2015-01-03,1.1,-7.2,6.9,,7.2,2.5,16,32.5,8.9,
90,속초,2015-01-04,5.8,1.9,10.4,,6.5,2.2,36,50.8,8.7,
90,속초,2015-01-05,7.3,2.2,12.2,,7.6,2.4,20,45.8,3.9,
90,속초,2015-01-06,3.4,-2.4,8.6,0,5.4,3,21,38.6,8.5,
90,속초,2015-01-07,-2.2,-6.7,3.1,,4.4,2.2,19,28.4,9.1,
90,속초,2015-01-08,-.5,-4.9,5.3,,3.3,1.5,18,30.9,9,
90,속초,2015-01-09,1.5,-2.7,6.3,,6.1,2.2,19,27,9,
90,속초,2015-01-10,3.1,-.5,6.4,,8.3,2.8,23,35.1,9.1,
90,속초,2015-01-11,1.8,-1.3,4.6,0,8.1,3.7,34,62.4,5.8,
90,속초,2015-01-12,-.2,-4.7,4.9,,3.9,1.5,24,40.5,9,
90,속초,2015-01-13,3.2,-3,8.3,,2.6,1.3,24,33.8,8.7,
90,속초,2015-01-14,4.8,-.4,8,,6,2.1,22,46.9,.2,
90,속초,2015-01-15,3.4,1.1,4.8,.5,3.3,1.7,72,86.6,0,
90,속초,2015-01-16,2.9,0,7.2,,8.4,2.8,44,63.6,6.4,
90,속초,2015-01-17,.8,-3.4,5.3,,4.8,2.2,18,32,9,
90,속초,2015-01-18,2.8,-.3,6.1,,7.5,2.4,17,38.1,4,
90,속초,2015-01-19,3.4,.1,7,0,5.9,2.8,33,46.6,8.6,
90,속초,2015-01-20,1.3,-2.8,5.9,,3.3,1.4,35,56,7.9,
